(+/-) tetrahydrofurfuryl (R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenyloxy]propionate,414-200-4,119738-06-6,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9943,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.332
"(+/-) trans-3,3-dimethyl-5-(2,2,3-trimethyl-cyclopent-3-en-1-yl)pent-4-en-2-ol",411-580-3,107898-54-4,Full,Joint,0 - 10 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/13419,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.101
"(+/-) trans-3,3-dimethyl-5-(2,2,3-trimethyl-cyclopent-3-en-1-yl)pent-4-en-2-ol",411-580-3,107898-54-4,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9692,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.101
"(+/-)-(R*,R*)-6-fluoro-3,4-dihydro-2-oxiranyl-2H-1-benzopyran",419-620-1,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9175,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.836
"(+/-)-(R*,S*)-6-fluoro-3,4-dihydro-2-oxiranyl-2H-1-benzopyran",419-630-6,793669-26-8,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9179,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.837
"(+/-)-2,3-dihydro-2-hydroxy-3,3-dimethylbenzofuran-5-ylethanesulfonate",402-720-4,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/5005,http://echa.europa.eu/substance-information/-/substanceinfo/100.100.451
"(+/-)-2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propan-1-ol",413-570-4,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/12912,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.278
(+/-)-4-(1-Hydroxy-4-(4-(hydroxydiphenyl-methyl)-1- piperidinyl)butyl)-alpha-dimethylbenzeneacetic acid,801-893-7,83799-24-0,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/7116,http://echa.europa.eu/substance-information/-/substanceinfo/100.228.648
(+/-)-4-[2-[[3-(4-hydroxyphenyl)-1-methylpropyl]amino]-1-hydroxyethyl]phenol hydrochloride,415-170-5,90274-24-1,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9325,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.418
"(+/-)-[(R*,R*)and(R*,S*)]-6-fluoro-3,4-dihydro-2-oxiranyl-2H-1-benzopyran",419-600-2,99199-90-3,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/7989,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.834
"(+/-)-[(R*,R*)and(R*,S*)]-6-fluoro-3,4-dihydro-2-oxiranyl-2H-1-benzopyran",419-600-2,99199-90-3,NA,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/4101,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.834
(+/-)-cis-3-acetoxy-4-phenylazetidine-2-one,425-840-9,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/3695,http://echa.europa.eu/substance-information/-/substanceinfo/100.102.430
(+/-)-trans-4-(4-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,415-550-0,109887-53-8,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/4365,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.454
"(+/-)-α-[(2-acetyl-5-methylphenyl)-amino]-2,6-dichlorobenzene-aceto-nitrile",419-290-9,-,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/9918,http://echa.europa.eu/substance-information/-/substanceinfo/100.101.805
"(-)(3S,4R)-4-(4-fluorophenyl)-3-(3,4-methylenedioxy-phenoxymethyl)-N-benzylpiperidine hydrochloride",432-360-3,105813-13-6,NONS,Individual,Tonnage Data Confidential,http://echa.europa.eu/registration-dossier/-/registered-dossier/4886,http://echa.europa.eu/substance-information/-/substanceinfo/100.103.062
(-)-(R)-1-((4-Chlorophenyl)(phenyl)methyl)piperazine,608-439-5,300543-56-0,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/17168,http://echa.europa.eu/substance-information/-/substanceinfo/100.124.900
"(-)-(R,R)-6-fluoro-3,4-dihydro-2-(2-oxiranyl)-2H-1-benzopyran",606-373-1,197706-50-6,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/6674,http://echa.europa.eu/substance-information/-/substanceinfo/100.116.253
"(-)-(R,S)-6-fluoro-3,4-dihydro-2-(2-oxiranyl)-2H-1-benzopyran",603-315-7,129050-26-6,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/6683,http://echa.europa.eu/substance-information/-/substanceinfo/100.111.737
(-)-pin-2(10)-ene,242-060-2,18172-67-3,Full,Joint,10000 - 100000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/15934,http://echa.europa.eu/substance-information/-/substanceinfo/100.038.222
(-)-pin-2(3)-ene,232-077-3,7785-26-4,Full,Joint,1000 - 10000 tonnes per annum,http://echa.europa.eu/registration-dossier/-/registered-dossier/14528,http://echa.europa.eu/substance-information/-/substanceinfo/100.029.161
(-)-tartaric acid,205-695-6,147-71-7,Intermediate,Joint,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/17277,http://echa.europa.eu/substance-information/-/substanceinfo/100.005.178
(-)-trans-4-(4'-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,406-030-4,105812-81-5,Intermediate,Individual,Intermediate Use Only,http://echa.europa.eu/registration-dossier/-/registered-dossier/1808,http://echa.europa.eu/substance-information/-/substanceinfo/100.100.756
